method,coverage_80,coverage_90,coverage_95,avg_width,avg_width_80,avg_width_90,avg_width_95,cal_error_80,cal_error_90,cal_error_95,calibration_error,MAE,RMSE,dir_acc,avg_explanation_confidence,avg_predicted_variance_proxy,avg_variance_weighted_explanation_error,interval_scale_80,interval_scale_90,interval_scale_95,selected_interval_mode,candidate_interval_mode
text_only,0.15007012622720897,0.4908835904628331,0.9607293127629734,0.1324911931091628,0.024902090221267263,0.12571487316618796,0.24685661594003314,0.6499298737727911,0.40911640953716694,0.010729312762973398,0.3565918653576438,0.03544545022478581,0.04947765913699917,0.4684431977559607,0.4851314622894686,0.004038688178691413,0.0003123722676175373,1.0,1.0,1.0,raw_quantile,raw_quantile
financial_only,0.3492286115007013,0.908835904628331,0.9873772791023843,0.3147875277369922,0.07072797899107026,0.3273410710622393,0.5462935331576669,0.45077138849929876,0.008835904628330948,0.03737727910238431,0.16566152407667134,0.037922315979899736,0.050586767810054306,0.5007012622720898,0.4851314622894686,0.028144116449125546,0.002201066208872138,1.0,1.0,1.0,raw_quantile,raw_quantile
sentiment_only,0.4894810659186536,0.9943899018232819,1.0,0.41955260435740155,0.09741726517677307,0.4333183467388153,0.7279222011566162,0.31051893408134645,0.09438990182328189,0.050000000000000044,0.15163627863487614,0.06166259452353573,0.07109180987069916,0.4684431977559607,0.4851314622894686,0.04694119740511504,0.006069698655664686,1.0,1.0,1.0,raw_quantile,raw_quantile
full_multimodal,0.638148667601683,0.8892005610098177,0.9565217391304348,0.17985664764458384,0.08100236897836184,0.17147064887556715,0.28709692507982254,0.16185133239831706,0.01079943899018232,0.006521739130434856,0.059724170172978076,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0,1.0,raw_quantile,raw_quantile
naive_conformal,0.8246844319775596,0.9298737727910238,0.9649368863955119,0.21506792514934583,0.13001001571784473,0.2087268897202937,0.30646687000989914,0.02468443197755954,0.029873772791023767,0.014936886395511939,0.02316503038803175,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,1.0,1.0,1.0,naive,naive
event_conditioned_conformal,0.82328190743338,0.9004207573632539,0.9565217391304348,0.1996944305790974,0.12868616694449947,0.18273367959364653,0.28766344519914616,0.02328190743337999,0.00042075736325386526,0.006521739130434856,0.010074801309022904,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.785,0.215,0.01,adaptive,adaptive
normalized_conformal_width,0.814866760168303,0.9046283309957924,0.9593267882187938,0.20725689639078662,0.14450561997971267,0.18881100393238728,0.28845406526025996,0.014866760168302906,0.004628330995792407,0.009326788218793847,0.00960729312762972,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.93,0.42,0.135,normalized_width,normalized_width
normalized_conformal_modality,0.8036465638148668,0.9046283309957924,0.9579242636746143,0.19745747974509023,0.12304259906960797,0.18159247275004795,0.28773736741561473,0.003646563814866721,0.004628330995792407,0.007924263674614296,0.005399719495091142,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.96,0.395,0.085,normalized_modality,normalized_modality
normalized_conformal_combined,0.8008415147265077,0.906030855539972,0.9579242636746143,0.20140773998001668,0.13010359898222487,0.1863954703253225,0.2877241506325027,0.0008415147265076195,0.006030855539971958,0.007924263674614296,0.004932211313697958,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.92,0.435,0.085,normalized_combined,normalized_combined
ours,0.8036465638148668,0.9046283309957924,0.9579242636746143,0.19745747974509023,0.12304259906960797,0.18159247275004795,0.28773736741561473,0.003646563814866721,0.004628330995792407,0.007924263674614296,0.005399719495091142,0.03423919972009205,0.04940595680166511,0.5399719495091164,0.4851314622894686,0.008403726292019287,0.0006692727100301873,0.96,0.395,0.085,normalized_modality,normalized_modality
same_ticker_baseline,0.8821879382889201,0.8611500701262272,0.7938288920056101,0.10553767061098678,0.11933403984570763,0.10758263395095131,0.08969633803630135,0.08218793828892001,0.03884992987377278,0.15617110799438982,0.09240299205236087,0.029771160453477854,0.04669325478581894,0.47685834502103785,1.0,0.0019587187694625817,0.00011323009432486972,,,,,
